SNo,Rule Name,  AMOUNT,INVOICE_NUMBER,POSTED_DATE,ENTERED_DATE,CREDIT_PERIOD,  PAYMENT_DATE, DUE_DATE, INVOICE_DATE,GRN_DATE,REQUISITION_DATE,DOC_TYPE,  ENTRY_TYPE, DISCOUNT_TAKEN,GRN_NUMBER,PURCHASE_ORDER_NUMBER,TRANSACTION_DESCRIPTION,PO_QUANTITY,INVOICE_QUANTITY,PO_PRICE,INVOICE_PRICE,PAYMENT_BLOCK_STATUS,APPROVED_USER_1,APPROVED_USER_2,APPROVED_USER_3,APPROVED_USER_4,APPROVED_USER_5,PAYMENT_TERMS_DESCRIPTION
1,LATE_PAYMENT,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,UNFAVORABLE_PAYMENT_TERMS,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,SUSPICIOUS_KEYWORD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,IMMEDIATE_PAYMENTS,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,POSTING_PERIOD,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,EARLY_POSTED_INVOICES,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,NON_PO_INVOICE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,INVOICES_WITHOUT_GRN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,VENDOR_MASTER_CHANGES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,INVOICE_CREATED_AFTER_ACCOUNTING_DATE,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,LOST_DISCOUNT,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,HIGH_VALUE_DEBIT_CREDIT_NOTES,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,DIFFERENCE_IN_INVOICE_QUANTITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
14,DIFFERENCE_IN_INVOICE_PRICE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
15,OLD_UNPAID_INVOICE,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,DATE_SEQUENTIAL_MISMATCH,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,APPROVAL_MATRIX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
18,PAYMENT_BLOCK_R,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19,EARLY_PAYMENT,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,3_WAY_MATCHING,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,
